docid_page,row,col,value,baseline_level_1,arms,subgroup_name,outcomes,subgroup_name;p-interaction,measures;arms,arms;measures,measures,subgroup_level,arms;p-interaction;other,arms;measures;p-interaction,arms;other
29143919_1,3,2,59.5 ± 9.4,Age (years),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,3,60.7 ± 9.5,Age (years),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,4,59.1 ± 9.8,Age (years),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,5,58.6 ± 8.2,Age (years),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,6,60.5 ± 8.4,Age (years),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,7,61.4 ± 7.8,Age (years),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,8,59.9 ± 8.1,Age (years),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,3,9,60.7 ± 9.6,Age (years),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,2,55.4,Female (%),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,3,52.6,Female (%),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,4,57.1,Female (%),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,5,55.1,Female (%),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,6,52.6,Female (%),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,7,51.1,Female (%),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,8,51.9,Female (%),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,4,9,55.6,Female (%),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,2,12.1 ± 6.7,Duration of T2D (years),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,3,11.9 ± 6.8,Duration of T2D (years),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,4,11.6 ± 6.1,Duration of T2D (years),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,5,13.7 ± 7.7,Duration of T2D (years),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,6,12.1 ± 6.9a,Duration of T2D (years),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,7,12.7 ± 7.1a,Duration of T2D (years),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,8,11.8 ± 6.5,Duration of T2D (years),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,5,9,11.9 ± 7.5,Duration of T2D (years),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,2,31.7 ± 4.2,Screening BMI (kg/m2),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,3,31.4 ± 4.1,Screening BMI (kg/m2),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,4,32.0 ± 4.3,Screening BMI (kg/m2),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,5,31.3 ± 4.2,Screening BMI (kg/m2),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,6,31.1 ± 4.2,Screening BMI (kg/m2),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,7,31.0 ± 4.3,Screening BMI (kg/m2),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,8,31.1 ± 4.3,Screening BMI (kg/m2),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,6,9,31.4 ± 4.2,Screening BMI (kg/m2),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,7,2,8.47 ± 0.65a,Screening HbA1c (%),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,7,3,7.78 ± 0.18,Screening HbA1c (%),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,7,4,8.47 ± 0.29a,Screening HbA1c (%),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,7,5,9.45 ± 0.29,Screening HbA1c (%),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,7,6,8.52 ± 0.66a,Screening HbA1c (%),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,7,7,7.77 ± 0.16,Screening HbA1c (%),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,7,8,8.49 ± 0.28a,Screening HbA1c (%),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,7,9,9.46 ± 0.28a,Screening HbA1c (%),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,8,2,8.04 ± 0.67a,Baseline HbA1c (%),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,8,3,7.74 ± 0.58,Baseline HbA1c (%),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,8,4,8.05 ± 0.67a,Baseline HbA1c (%),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,8,5,8.42 ± 0.60,Baseline HbA1c (%),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,8,6,8.05 ± 0.72a,Baseline HbA1c (%),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,8,7,7.62 ± 0.55,Baseline HbA1c (%),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,8,8,8.10 ± 0.67a,Baseline HbA1c (%),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,8,9,8.45 ± 0.75a,Baseline HbA1c (%),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,9,2,28 ± 8,Basal insulin dose at run-in (U/day),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,9,3,29± 8,Basal insulin dose at run-in (U/day),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,9,4,28± 8,Basal insulin dose at run-in (U/day),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,9,5,28± 8,Basal insulin dose at run-in (U/day),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,9,6,29± 8,Basal insulin dose at run-in (U/day),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,9,7,28± 8,Basal insulin dose at run-in (U/day),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,9,8,29± 8,Basal insulin dose at run-in (U/day),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,9,9,30± 8,Basal insulin dose at run-in (U/day),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,10,2,35 ± 9,iGlar dose at randomization (U/day),iGlarLixi,All completers (n 5 327),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,10,3,35± 9,iGlar dose at randomization (U/day),iGlarLixi,HbA1c <= 8% (n 5 97),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,10,4,35± 10,iGlar dose at randomization (U/day),iGlarLixi,8% < HbA1c <= 9% (n 5 161),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,10,5,35 ± 9,iGlar dose at randomization (U/day),iGlarLixi,HbA1c > 9% (n 5 69),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,10,6,35± 9,iGlar dose at randomization (U/day),iGlar,All completers (n 5 333),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,10,7,34± 8,iGlar dose at randomization (U/day),iGlar,HbA1c <= 8% (n 5 94),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,10,8,36± 9,iGlar dose at randomization (U/day),iGlar,8% < HbA1c <= 9% (n 5 158),NA,NA,NA,NA,NA,NA,NA,NA,NA
29143919_1,10,9,35± 7,iGlar dose at randomization (U/day),iGlar,HbA1c >9% (n 5 81),NA,NA,NA,NA,NA,NA,NA,NA,NA
29145215_2,4,2,n = 856,NA,NA,"Individuals without diabetes, n = 3,662",NA,"baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,4,3,n = 423,NA,NA,"Individuals without diabetes, n = 3,662",NA,"baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,4,5,"n = 1,581",NA,NA,"Individuals without diabetes, n = 3,662",NA,"baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,4,6,n = 802,NA,NA,"Individuals without diabetes, n = 3,662",NA,"baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,5,2,-8.2,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, %","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,5,3,-2.7,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, %","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,5,4,-5.73 (-6.47; -4.99),NA,NA,"Individuals without diabetes, n = 3,662","Body weight, %","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,5,5,-7.9,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, %","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,5,6,-2.6,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, %","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,5,7,-5.20 (-5.74; -4.66),NA,NA,"Individuals without diabetes, n = 3,662","Body weight, %","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,5,8,0.26,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, %",interaction p value,ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,6,2,-7.3,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, kg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,6,3,-2.4,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, kg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,6,4,-5.10 (-5.91; -4.29),NA,NA,"Individuals without diabetes, n = 3,662","Body weight, kg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,6,5,-8.9,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, kg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,6,6,-3.1,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, kg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,6,7,-5.81 (-6.40; -5.22),NA,NA,"Individuals without diabetes, n = 3,662","Body weight, kg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,6,8,0.17,NA,NA,"Individuals without diabetes, n = 3,662","Body weight, kg",interaction p value,ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,7,2,-8.2,NA,NA,"Individuals without diabetes, n = 3,662","Waist circumference, cm","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,7,3,-3.5,NA,NA,"Individuals without diabetes, n = 3,662","Waist circumference, cm","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,7,4,-4.68 (-5.49; -3.87),NA,NA,"Individuals without diabetes, n = 3,662","Waist circumference, cm","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,7,5,-8.2,NA,NA,"Individuals without diabetes, n = 3,662","Waist circumference, cm","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,7,6,-4.2,NA,NA,"Individuals without diabetes, n = 3,662","Waist circumference, cm","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,7,7,-3.90 (-4.49; -3.31),NA,NA,"Individuals without diabetes, n = 3,662","Waist circumference, cm","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,7,8,0.13,NA,NA,"Individuals without diabetes, n = 3,662","Waist circumference, cm",interaction p value,ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,8,2,-0.3,NA,NA,"Individuals without diabetes, n = 3,662","HbA1c, %","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,8,3,-0.1,NA,NA,"Individuals without diabetes, n = 3,662","HbA1c, %","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,8,4,-0.21 (-0.24; -0.18),NA,NA,"Individuals without diabetes, n = 3,662","HbA1c, %","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,8,5,-0.3,NA,NA,"Individuals without diabetes, n = 3,662","HbA1c, %","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,8,6,-0.1,NA,NA,"Individuals without diabetes, n = 3,662","HbA1c, %","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,8,7,-0.24 (-0.26; -.021),NA,NA,"Individuals without diabetes, n = 3,662","HbA1c, %","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,8,8,0.17,NA,NA,"Individuals without diabetes, n = 3,662","HbA1c, %",interaction p value,ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,9,2,-0.4,NA,NA,"Individuals without diabetes, n = 3,662","FPG, mmol/l","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,9,3,0.0,NA,NA,"Individuals without diabetes, n = 3,662","FPG, mmol/l","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,9,4,-0.38 (-0.44; -0.32),NA,NA,"Individuals without diabetes, n = 3,662","FPG, mmol/l","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,9,5,-0.4,NA,NA,"Individuals without diabetes, n = 3,662","FPG, mmol/l","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,9,6,0.0,NA,NA,"Individuals without diabetes, n = 3,662","FPG, mmol/l","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,9,7,-0.38 (-0.43; -0.34),NA,NA,"Individuals without diabetes, n = 3,662","FPG, mmol/l","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,9,8,0.89,NA,NA,"Individuals without diabetes, n = 3,662","FPG, mmol/l",interaction p value,ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,10,2,-3.7,NA,NA,"Individuals without diabetes, n = 3,662","SBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,10,3,-1.4,NA,NA,"Individuals without diabetes, n = 3,662","SBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,10,4,-2.11 (-3.36; -0.87),NA,NA,"Individuals without diabetes, n = 3,662","SBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,10,5,-4.5,NA,NA,"Individuals without diabetes, n = 3,662","SBP, mm Hg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,10,6,-1.6,NA,NA,"Individuals without diabetes, n = 3,662","SBP, mm Hg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,10,7,-3.19 (-4.09; -2.28),NA,NA,"Individuals without diabetes, n = 3,662","SBP, mm Hg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,10,8,0.17,NA,NA,"Individuals without diabetes, n = 3,662","SBP, mm Hg",interaction p value,ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,11,2,-2.5,NA,NA,"Individuals without diabetes, n = 3,662","DBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,11,3,-1.8,NA,NA,"Individuals without diabetes, n = 3,662","DBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,11,4,-0.75 (-1.64; 0.14),NA,NA,"Individuals without diabetes, n = 3,662","DBP, mm Hg","baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,11,5,-2.7,NA,NA,"Individuals without diabetes, n = 3,662","DBP, mm Hg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,11,6,-1.9,NA,NA,"Individuals without diabetes, n = 3,662","DBP, mm Hg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,11,7,-0.95 (-1.60; -0.30),NA,NA,"Individuals without diabetes, n = 3,662","DBP, mm Hg","baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,11,8,0.73,NA,NA,"Individuals without diabetes, n = 3,662","DBP, mm Hg",interaction p value,ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,12,2,9.1,NA,NA,"Individuals without diabetes, n = 3,662",IWQOL-Lite total score (arbitrary units)#,"baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,12,3,7.1,NA,NA,"Individuals without diabetes, n = 3,662",IWQOL-Lite total score (arbitrary units)#,"baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks","placebo, ",NA,NA,NA,NA,NA,NA
29145215_2,12,4,2.16 (0.65; 3.67),NA,NA,"Individuals without diabetes, n = 3,662",IWQOL-Lite total score (arbitrary units)#,"baseline BMI 27 to <35 kg/m2, n = 1,279 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,12,5,11.4,NA,NA,"Individuals without diabetes, n = 3,662",IWQOL-Lite total score (arbitrary units)#,"baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","liraglutide 3.0 mg,",NA,NA,NA,NA,NA,NA
29145215_2,12,6,8.0,NA,NA,"Individuals without diabetes, n = 3,662",IWQOL-Lite total score (arbitrary units)#,"baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks","placebo,",NA,NA,NA,NA,NA,NA
29145215_2,12,7,3.59 (2.51; 4.67),NA,NA,"Individuals without diabetes, n = 3,662",IWQOL-Lite total score (arbitrary units)#,"baseline BMI > 35 kg/m2, n = 2,383 change from baseline to 56 weeks",ETD (95% CI),NA,NA,NA,NA,NA,NA
29145215_2,12,8,0.13,NA,NA,"Individuals without diabetes, n = 3,662",IWQOL-Lite total score (arbitrary units)#,interaction p value,ETD (95% CI),NA,NA,NA,NA,NA,NA
